sample,host_elapsed_s,mono_ns,phase,door_deg,lip_height_cm,shoulder_deg,shoulder_load_raw,elbow_load_raw,wrist_load_raw,arm_target_error_deg,torque_command,target_door_deg,q_0_deg,q_1_deg,q_2_deg,q_3_deg,q_4_deg,q_5_deg
48,0.891639151,7164589524838,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
49,0.909700047,7164607585734,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
50,0.927784447,7164625670134,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
51,0.945972158,7164643857845,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
52,0.963788483,7164661674170,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
53,0.981830088,7164679715775,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
54,0.99981947,7164697705157,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
55,1.020971281,7164718856968,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
56,1.036340873,7164734226560,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
57,1.052990624,7164750876311,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
58,1.070748344,7164768634031,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
59,1.088628535,7164786514222,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
60,1.106836277,7164804721964,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
61,1.124726796,7164822612483,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
62,1.142799812,7164840685499,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
63,1.160701817,7164858587504,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
64,1.178766146,7164876651833,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
65,1.196719467,7164894605154,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
66,1.214710281,7164912595968,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
67,1.233161454,7164931047141,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
68,1.249902092,7164947787779,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
69,1.267573824,7164965459511,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
70,1.285698733,7164983584420,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
71,1.3036223,7165001507987,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
72,1.321659495,7165019545182,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
73,1.339781922,7165037667609,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
74,1.357652483,7165055538170,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
75,1.375745832,7165073631519,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
76,1.393644499,7165091530186,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
77,1.411728648,7165109614335,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
78,1.429668525,7165127554212,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
79,1.448620353,7165146506040,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
80,1.465027699,7165162913386,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
81,1.482941562,7165180827249,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
82,1.500488041,7165198373728,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
83,1.518642322,7165216528009,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,200.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
84,1.537442908,7165235328595,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,200.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
85,1.555581687,7165253467374,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,200.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
86,1.573546484,7165271432171,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,200.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
87,1.591725296,7165289610983,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,200.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
88,1.609782354,7165307668041,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,200.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
89,1.630777167,7165328662854,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,200.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
90,1.64629488,7165344180567,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,200.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
91,1.662947262,7165360832949,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,200.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
92,1.680677913,7165378563600,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,200.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
93,1.69861139,7165396497077,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,200.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
94,1.716615475,7165414501162,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,200.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
95,1.734893796,7165432779483,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,200.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
96,1.752739009,7165450624696,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,200.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
97,1.770832102,7165468717789,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,200.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
98,1.788671113,7165486556800,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,200.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
99,1.807151997,7165505037684,p1,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,200.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
100,1.823661582,7165521547269,p1,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,87.64843750868275,200.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
101,1.841704257,7165539589944,p1,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,87.64843750868275,200.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
102,1.862902909,7165560788596,p1,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,87.64843750868275,200.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
