body,q5_deg,band_lo_mm,band_hi_mm,n_pts_in_window,min_r_mm,max_r_mm
gripper_link,45.0000,-1.5,-1.0,0,,
gripper_link,45.0000,-1.0,-0.5,0,,
gripper_link,45.0000,-0.5,0.0,0,,
gripper_link,45.0000,0.0,0.5,0,,
gripper_link,45.0000,0.5,1.0,0,,
gripper_link,45.0000,1.0,1.5,0,,
gripper_link,45.0000,1.5,2.0,0,,
gripper_link,45.0000,2.0,2.5,0,,
gripper_link,45.0000,2.5,3.0,0,,
gripper_link,45.0000,3.0,3.5,0,,
gripper_link,45.0000,3.5,4.0,0,,
gripper_link,45.0000,4.0,4.5,0,,
gripper_link,45.0000,4.5,5.0,0,,
gripper_link,45.0000,5.0,5.5,0,,
gripper_link,45.0000,5.5,6.0,0,,
gripper_link,45.0000,6.0,6.5,0,,
gripper_link,45.0000,6.5,7.0,0,,
gripper_link,45.0000,7.0,7.5,0,,
gripper_link,45.0000,7.5,8.0,0,,
gripper_link,45.0000,8.0,8.5,0,,
gripper_link,45.0000,8.5,9.0,0,,
gripper_link,45.0000,9.0,9.5,0,,
gripper_link,45.0000,9.5,10.0,0,,
gripper_link,45.0000,10.0,10.5,0,,
gripper_link,45.0000,10.5,11.0,0,,
gripper_link,45.0000,11.0,11.5,0,,
gripper_link,45.0000,11.5,12.0,0,,
gripper_link,45.0000,12.0,12.5,0,,
gripper_link,45.0000,12.5,13.0,0,,
gripper_link,45.0000,13.0,13.5,0,,
gripper_link,45.0000,13.5,14.0,0,,
gripper_link,45.0000,14.0,14.5,0,,
gripper_link,45.0000,14.5,15.0,0,,
gripper_link,45.0000,15.0,15.5,0,,
gripper_link,45.0000,15.5,16.0,0,,
gripper_link,45.0000,16.0,16.5,0,,
gripper_link,45.0000,16.5,17.0,0,,
gripper_link,45.0000,17.0,17.5,0,,
gripper_link,45.0000,17.5,18.0,0,,
gripper_link,45.0000,18.0,18.5,0,,
gripper_link,45.0000,18.5,19.0,0,,
gripper_link,45.0000,19.0,19.5,0,,
gripper_link,45.0000,19.5,20.0,0,,
gripper_link,45.0000,20.0,20.5,0,,
gripper_link,45.0000,20.5,21.0,0,,
gripper_link,45.0000,21.0,21.5,0,,
gripper_link,45.0000,21.5,22.0,0,,
gripper_link,45.0000,22.0,22.5,0,,
gripper_link,45.0000,22.5,23.0,0,,
gripper_link,45.0000,23.0,23.5,0,,
gripper_link,45.0000,23.5,24.0,0,,
gripper_link,45.0000,24.0,24.5,0,,
gripper_link,45.0000,24.5,25.0,0,,
gripper_link,45.0000,25.0,25.5,0,,
gripper_link,45.0000,25.5,26.0,0,,
gripper_link,45.0000,26.0,26.5,0,,
gripper_link,45.0000,26.5,27.0,0,,
gripper_link,45.0000,27.0,27.5,0,,
gripper_link,45.0000,27.5,28.0,0,,
gripper_link,45.0000,28.0,28.5,0,,
gripper_link,45.0000,28.5,29.0,0,,
gripper_link,45.0000,29.0,29.5,0,,
gripper_link,45.0000,29.5,30.0,0,,
gripper_link,24.0000,-5.0,-4.5,976,19.48,22.82
gripper_link,24.0000,-4.5,-4.0,869,19.67,22.84
gripper_link,24.0000,-4.0,-3.5,727,19.93,22.88
gripper_link,24.0000,-3.5,-3.0,690,20.18,22.91
gripper_link,24.0000,-3.0,-2.5,774,20.39,22.99
gripper_link,24.0000,-2.5,-2.0,817,20.61,23.04
gripper_link,24.0000,-2.0,-1.5,750,20.82,23.15
gripper_link,24.0000,-1.5,-1.0,599,21.04,23.27
gripper_link,24.0000,-1.0,-0.5,505,21.25,23.33
gripper_link,24.0000,-0.5,0.0,466,21.50,23.33
gripper_link,24.0000,0.0,0.5,225,21.71,22.60
gripper_link,24.0000,0.5,1.0,0,,
gripper_link,24.0000,1.0,1.5,0,,
gripper_link,24.0000,1.5,2.0,0,,
gripper_link,24.0000,2.0,2.5,0,,
gripper_link,24.0000,2.5,3.0,0,,
gripper_link,24.0000,3.0,3.5,0,,
gripper_link,24.0000,3.5,4.0,0,,
gripper_link,24.0000,4.0,4.5,0,,
gripper_link,24.0000,4.5,5.0,0,,
gripper_link,24.0000,5.0,5.5,0,,
gripper_link,24.0000,5.5,6.0,0,,
gripper_link,24.0000,6.0,6.5,0,,
gripper_link,24.0000,6.5,7.0,0,,
gripper_link,24.0000,7.0,7.5,0,,
gripper_link,24.0000,7.5,8.0,0,,
gripper_link,24.0000,8.0,8.5,0,,
gripper_link,24.0000,8.5,9.0,0,,
gripper_link,24.0000,9.0,9.5,0,,
gripper_link,24.0000,9.5,10.0,0,,
gripper_link,24.0000,10.0,10.5,0,,
gripper_link,24.0000,10.5,11.0,0,,
gripper_link,24.0000,11.0,11.5,0,,
gripper_link,24.0000,11.5,12.0,0,,
gripper_link,24.0000,12.0,12.5,0,,
gripper_link,24.0000,12.5,13.0,0,,
gripper_link,24.0000,13.0,13.5,0,,
gripper_link,24.0000,13.5,14.0,0,,
gripper_link,24.0000,14.0,14.5,0,,
gripper_link,24.0000,14.5,15.0,0,,
gripper_link,24.0000,15.0,15.5,0,,
gripper_link,24.0000,15.5,16.0,0,,
gripper_link,24.0000,16.0,16.5,0,,
gripper_link,24.0000,16.5,17.0,0,,
gripper_link,24.0000,17.0,17.5,0,,
gripper_link,24.0000,17.5,18.0,0,,
gripper_link,24.0000,18.0,18.5,0,,
gripper_link,24.0000,18.5,19.0,0,,
gripper_link,24.0000,19.0,19.5,0,,
gripper_link,24.0000,19.5,20.0,0,,
gripper_link,24.0000,20.0,20.5,0,,
gripper_link,24.0000,20.5,21.0,0,,
gripper_link,24.0000,21.0,21.5,0,,
gripper_link,24.0000,21.5,22.0,0,,
gripper_link,24.0000,22.0,22.5,0,,
gripper_link,24.0000,22.5,23.0,0,,
gripper_link,24.0000,23.0,23.5,0,,
gripper_link,24.0000,23.5,24.0,0,,
gripper_link,24.0000,24.0,24.5,0,,
gripper_link,24.0000,24.5,25.0,0,,
gripper_link,24.0000,25.0,25.5,0,,
gripper_link,24.0000,25.5,26.0,0,,
gripper_link,24.0000,26.0,26.5,0,,
gripper_link,24.0000,26.5,27.0,0,,
gripper_link,24.0000,27.0,27.5,0,,
gripper_link,24.0000,27.5,28.0,0,,
gripper_link,24.0000,28.0,28.5,0,,
gripper_link,24.0000,28.5,29.0,0,,
gripper_link,24.0000,29.0,29.5,0,,
gripper_link,24.0000,29.5,30.0,0,,
gripper_link,5.0000,-5.0,-4.5,864,1.95,12.37
gripper_link,5.0000,-4.5,-4.0,855,1.80,12.02
gripper_link,5.0000,-4.0,-3.5,901,1.50,11.32
gripper_link,5.0000,-3.5,-3.0,997,0.90,10.97
gripper_link,5.0000,-3.0,-2.5,972,0.05,10.27
gripper_link,5.0000,-2.5,-2.0,862,0.66,9.93
gripper_link,5.0000,-2.0,-1.5,732,0.62,9.56
gripper_link,5.0000,-1.5,-1.0,979,0.17,8.89
gripper_link,5.0000,-1.0,-0.5,790,0.95,8.51
gripper_link,5.0000,-0.5,0.0,639,1.32,7.86
gripper_link,5.0000,0.0,0.5,645,1.46,7.46
gripper_link,5.0000,0.5,1.0,641,1.31,6.83
gripper_link,5.0000,1.0,1.5,789,0.94,6.49
gripper_link,5.0000,1.5,2.0,755,0.08,5.82
gripper_link,5.0000,2.0,2.5,592,0.28,5.48
gripper_link,5.0000,2.5,3.0,550,0.23,5.00
gripper_link,5.0000,3.0,3.5,388,0.20,4.51
gripper_link,5.0000,3.5,4.0,544,0.11,3.77
gripper_link,5.0000,4.0,4.5,0,,
gripper_link,5.0000,4.5,5.0,0,,
gripper_link,5.0000,5.0,5.5,0,,
gripper_link,5.0000,5.5,6.0,0,,
gripper_link,5.0000,6.0,6.5,0,,
gripper_link,5.0000,6.5,7.0,0,,
gripper_link,5.0000,7.0,7.5,0,,
gripper_link,5.0000,7.5,8.0,0,,
gripper_link,5.0000,8.0,8.5,0,,
gripper_link,5.0000,8.5,9.0,0,,
gripper_link,5.0000,9.0,9.5,0,,
gripper_link,5.0000,9.5,10.0,0,,
gripper_link,5.0000,10.0,10.5,0,,
gripper_link,5.0000,10.5,11.0,0,,
gripper_link,5.0000,11.0,11.5,0,,
gripper_link,5.0000,11.5,12.0,0,,
gripper_link,5.0000,12.0,12.5,0,,
gripper_link,5.0000,12.5,13.0,0,,
gripper_link,5.0000,13.0,13.5,0,,
gripper_link,5.0000,13.5,14.0,0,,
gripper_link,5.0000,14.0,14.5,0,,
gripper_link,5.0000,14.5,15.0,0,,
gripper_link,5.0000,15.0,15.5,0,,
