physics_step,sim_time_s,phase,label,tcp_x,tcp_y,tcp_z,obj_x,obj_y,obj_z,quat_w,quat_x,quat_y,quat_z,q5_deg,q5_cmd_deg,target_error_m,object_drift_m,object_speed_mps,tilt_deg,upright_z,marker,attach_calls_total,posewrite_calls_total
79,0.79,approach,approach_open_wp006,0.327084,-0.024124,0.307405,0.213862,-0.195728,0.025,1.0,-1.8e-05,-7e-06,-0.000164,88.3096,88.31,0.002948,2e-06,0.00049,0.0022,1.0,0,0,0
80,0.8,approach,approach_open_wp006,0.32668,-0.024286,0.306995,0.213861,-0.19573,0.025,1.0,1.1e-05,-1.3e-05,-0.000164,88.3096,88.31,0.002448,1e-06,0.000571,0.0019,1.0,0,0,0
81,0.81,approach,approach_open_wp007,0.325762,-0.025137,0.30575,0.213863,-0.19573,0.025,1.0,6e-06,2e-05,-0.00017,88.3096,88.31,0.007863,2e-06,0.000764,0.0023,1.0,0,0,0
82,0.82,approach,approach_open_wp007,0.325016,-0.025882,0.304537,0.213862,-0.195728,0.025,1.0,-1.9e-05,-3e-06,-0.000164,88.3096,88.31,0.006293,2e-06,0.000449,0.0022,1.0,0,0,0
83,0.83,approach,approach_open_wp007,0.324398,-0.026487,0.30355,0.213861,-0.19573,0.025,1.0,9e-06,-1.5e-05,-0.000164,88.3096,88.31,0.005026,0.0,0.000621,0.002,1.0,0,0,0
84,0.84,approach,approach_open_wp007,0.323884,-0.026979,0.302755,0.213863,-0.19573,0.025,1.0,8e-06,1.8e-05,-0.00017,88.3096,88.31,0.004013,2e-06,0.000737,0.0023,1.0,0,0,0
85,0.85,approach,approach_open_wp007,0.323458,-0.027379,0.302113,0.213862,-0.195728,0.025,1.0,-1.8e-05,-0.0,-0.000165,88.3095,88.31,0.00321,2e-06,0.000428,0.0021,1.0,0,0,0
86,0.86,approach,approach_open_wp007,0.323105,-0.027705,0.301595,0.213861,-0.19573,0.025,1.0,7e-06,-1.6e-05,-0.000163,88.3095,88.31,0.002585,0.0,0.000665,0.002,1.0,0,0,0
87,0.87,approach,approach_open_wp007,0.322813,-0.027971,0.301176,0.213863,-0.19573,0.025,1.0,1.1e-05,1.7e-05,-0.00017,88.3095,88.31,0.002111,2e-06,0.000707,0.0023,1.0,0,0,0
88,0.88,approach,approach_open_wp008,0.321984,-0.028907,0.299938,0.213862,-0.195728,0.025,1.0,-1.7e-05,3e-06,-0.000165,88.3095,88.31,0.007815,2e-06,0.000427,0.002,1.0,0,0,0
89,0.89,approach,approach_open_wp008,0.321316,-0.029721,0.298731,0.213861,-0.19573,0.025,1.0,5e-06,-1.7e-05,-0.000163,88.3095,88.31,0.006244,2e-06,0.000699,0.002,1.0,0,0,0
90,0.9,approach,approach_open_wp008,0.320764,-0.030384,0.297748,0.213863,-0.19573,0.025,1.0,1.3e-05,1.6e-05,-0.000169,88.3095,88.31,0.004975,0.0,0.000665,0.0024,1.0,0,0,0
91,0.91,approach,approach_open_wp008,0.320306,-0.030924,0.296954,0.213862,-0.195728,0.025,1.0,-1.6e-05,6e-06,-0.000166,88.3095,88.31,0.003959,2e-06,0.000451,0.002,1.0,0,0,0
92,0.92,approach,approach_open_wp008,0.319928,-0.031363,0.296311,0.213861,-0.195729,0.025,1.0,2e-06,-1.9e-05,-0.000162,88.3095,88.31,0.003152,2e-06,0.000739,0.0022,1.0,0,0,0
93,0.93,approach,approach_open_wp008,0.319615,-0.03172,0.295792,0.213863,-0.19573,0.025,1.0,1.6e-05,1.3e-05,-0.000169,88.3095,88.31,0.002522,0.0,0.000601,0.0023,1.0,0,0,0
94,0.94,approach,approach_open_wp008,0.319357,-0.032012,0.295372,0.213863,-0.195728,0.025,1.0,-1.5e-05,8e-06,-0.000166,88.3094,88.31,0.002042,2e-06,0.000482,0.0019,1.0,0,0,0
95,0.95,approach,approach_open_wp009,0.318548,-0.03297,0.294138,0.213861,-0.195729,0.025,1.0,-0.0,-1.9e-05,-0.000162,88.3095,88.31,0.007822,2e-06,0.00076,0.0022,1.0,0,0,0
96,0.96,approach,approach_open_wp009,0.317897,-0.033803,0.292935,0.213862,-0.19573,0.025,1.0,1.7e-05,1e-05,-0.000169,88.3095,88.31,0.006247,2e-06,0.000549,0.0023,1.0,0,0,0
97,0.97,approach,approach_open_wp009,0.317359,-0.034481,0.291955,0.213863,-0.195728,0.025,1.0,-1.3e-05,1.1e-05,-0.000167,88.3094,88.31,0.004972,0.0,0.000519,0.0019,1.0,0,0,0
98,0.98,approach,approach_open_wp009,0.316913,-0.035033,0.291162,0.213861,-0.195729,0.025,1.0,-3e-06,-1.9e-05,-0.000162,88.3094,88.31,0.003949,2e-06,0.000769,0.0022,1.0,0,0,0
99,0.99,approach,approach_open_wp009,0.316544,-0.035483,0.290521,0.213862,-0.19573,0.025,1.0,1.8e-05,7e-06,-0.000168,88.3094,88.31,0.003133,2e-06,0.000491,0.0023,1.0,0,0,0
100,1.0,approach,approach_open_wp009,0.31624,-0.035849,0.290002,0.213863,-0.195728,0.025,1.0,-1.1e-05,1.3e-05,-0.000168,88.3094,88.31,0.002493,0.0,0.00057,0.0019,1.0,0,0,0
101,1.01,approach,approach_open_wp009,0.315989,-0.036147,0.289582,0.213861,-0.195729,0.025,1.0,-6e-06,-1.9e-05,-0.000162,88.3094,88.31,0.002001,2e-06,0.000766,0.0023,1.0,0,0,0
102,1.02,approach,approach_open_wp010,0.315227,-0.037092,0.288297,0.213862,-0.19573,0.025,1.0,1.9e-05,4e-06,-0.000167,88.3094,88.31,0.007831,2e-06,0.000452,0.0022,1.0,0,0,0
103,1.03,approach,approach_open_wp010,0.314623,-0.037915,0.287029,0.213863,-0.195729,0.025,1.0,-9e-06,1.5e-05,-0.000168,88.3094,88.31,0.006246,2e-06,0.00062,0.002,1.0,0,0,0
104,1.04,approach,approach_open_wp010,0.314123,-0.038586,0.285995,0.213861,-0.195729,0.025,1.0,-8e-06,-1.8e-05,-0.000162,88.3094,88.31,0.004971,0.0,0.000739,0.0023,1.0,0,0,0
105,1.05,approach,approach_open_wp010,0.313709,-0.039131,0.285159,0.213862,-0.19573,0.025,1.0,1.8e-05,0.0,-0.000167,88.3094,88.31,0.003958,2e-06,0.000431,0.0021,1.0,0,0,0
106,1.06,approach,approach_open_wp010,0.313365,-0.039575,0.284483,0.213863,-0.195729,0.025,1.0,-7e-06,1.6e-05,-0.000168,88.3094,88.31,0.003164,2e-06,0.000662,0.002,1.0,0,0,0
107,1.07,approach,approach_open_wp010,0.313082,-0.039937,0.283936,0.213861,-0.195729,0.025,1.0,-1.1e-05,-1.7e-05,-0.000162,88.3094,88.31,0.002556,0.0,0.000709,0.0023,1.0,0,0,0
