leg,physics_step,phase,q5_deg,delta_mm,tilt_deg,clr_fixed_mm_MA,clr_moving_mm_MA,clr_fixed_mm_MB,clr_moving_mm_MB,clr_fixed_mm_visual,clr_moving_mm_visual,fixed_argmin_part,moving_argmin_part,fixed_n_inside,moving_n_inside
1,490,lift,24.8246,-0.533869,0.8444,0.615054,5.407641,0.639534,5.382483,0.614835,5.407802,part_029,part_063,0,0
1,491,lift,24.7660,0.072060,0.0312,1.296092,4.825006,1.335605,4.785533,1.295962,4.825245,part_029,part_063,0,0
1,492,lift,24.7180,0.568671,0.0009,1.830517,4.836343,1.882287,4.784568,1.830518,4.836591,part_029,part_063,0,0
1,493,lift,24.6786,0.974059,0.0022,2.257982,4.859206,2.319622,4.797545,2.257973,4.859456,part_029,part_063,0,0
1,494,lift,24.6464,1.305011,0.0019,2.604872,4.877636,2.674429,4.808048,2.604771,4.877872,part_029,part_063,0,0
1,495,lift,24.6199,2.289268,0.0023,3.643266,4.999605,3.736981,4.905706,3.643266,4.999843,part_029,part_063,0,0
1,496,lift,24.5983,3.181494,0.0022,4.649923,5.003176,4.771139,4.881466,4.649912,5.003418,part_029,part_063,0,0
1,497,lift,24.5805,3.912821,0.0019,5.471927,5.008132,5.615455,4.863791,5.471837,5.008350,part_029,part_063,0,0
1,498,lift,24.5660,4.510986,0.0023,6.140246,5.015602,6.301729,4.853014,6.140247,5.015827,part_029,part_063,0,0
1,499,lift,24.5541,4.999824,0.0021,6.684824,5.030453,6.860739,4.853134,6.684811,5.030683,part_029,part_063,0,0
1,500,lift,24.5443,5.398438,0.0020,7.126984,5.044900,7.314527,4.855703,7.126904,5.045112,part_029,part_063,0,0
1,501,lift,24.5363,5.724975,0.0023,7.486257,5.056219,7.683145,4.857490,7.486239,5.056434,part_029,part_063,0,0
2,386,close,88.3094,0.277198,0.0021,0.711890,48.542325,0.685527,48.566774,0.711781,48.531938,part_029,part_011,0,0
2,387,close,88.3093,-0.058962,0.0023,0.413286,48.212036,0.383640,48.239458,0.413286,48.202156,part_029,part_011,0,0
2,388,close,86.5102,-0.328933,0.0020,0.168861,47.619888,0.136083,47.650133,0.168851,47.540138,part_029,part_011,0,0
2,389,close,84.7112,-0.534874,0.0190,0.012025,47.065628,-0.020615,47.095310,0.012000,46.887264,part_029,part_025,0,0
2,390,close,82.9121,-0.647027,0.1728,0.003581,46.540841,-0.021185,46.563063,0.003545,46.264089,part_029,part_025,0,0
2,391,close,81.1130,-0.740008,0.4312,0.001509,45.990785,-0.015548,46.005684,0.001474,45.661656,part_029,part_025,0,0
2,392,close,79.3139,-0.819976,0.6299,-0.006272,45.403070,-0.017469,45.412562,-0.006340,45.082996,part_029,part_025,12,0
2,393,close,77.5149,-0.884844,0.7935,-0.011403,44.791931,-0.017768,44.797264,-0.011499,44.513778,part_029,part_025,14,0
2,394,close,75.7158,-0.938805,0.9275,-0.015960,44.198654,-0.018408,44.200703,-0.016077,43.965240,part_029,part_025,14,0
2,395,close,73.9167,-0.982461,1.0364,-0.018176,43.629035,-0.017406,43.628390,-0.018310,43.441486,part_029,part_025,15,0
2,396,close,72.1177,-1.019320,1.1255,-0.022100,43.079112,-0.018749,43.076301,-0.022249,42.938436,part_029,part_025,17,0
2,397,close,70.3186,-1.048424,1.1985,-0.024078,42.552127,-0.018583,42.547508,-0.024239,42.446999,part_029,part_025,17,0
2,398,close,68.5338,-1.072923,1.2583,-0.025544,41.727368,-0.018305,41.722261,-0.025714,41.704489,part_029,part_030,17,0
2,399,close,66.9926,-1.093640,1.3093,-0.027691,40.867369,-0.018964,40.861448,-0.027870,40.846032,part_029,part_030,18,0
2,400,close,65.7297,-1.110605,1.3506,-0.028693,40.133275,-0.018731,40.126864,-0.028877,40.118005,part_029,part_042,18,0
2,401,close,64.6949,-1.124334,1.3840,-0.030212,39.516194,-0.019323,39.509379,-0.030401,39.506761,part_029,part_042,18,0
2,402,close,63.8470,-1.135104,1.4109,-0.031001,39.000043,-0.019296,38.992975,-0.031195,38.994875,part_029,part_042,18,0
2,403,close,63.1522,-1.144366,1.4326,-0.031772,38.570429,-0.019442,38.563138,-0.031970,38.569039,part_029,part_042,19,0
2,404,close,62.5829,-1.151573,1.4503,-0.032334,38.213635,-0.019516,38.206198,-0.032533,38.197687,part_029,part_042,19,0
2,405,close,62.1164,-1.157738,1.4645,-0.032586,37.875769,-0.019352,37.870371,-0.032788,37.851890,part_029,part_045,19,0
2,406,close,61.7341,-1.161658,1.4758,-0.032376,37.591669,-0.018789,37.586136,-0.032579,37.568813,part_029,part_045,19,0
2,407,close,61.4209,-1.165440,1.4851,-0.032569,37.358602,-0.018727,37.352971,-0.032773,37.336589,part_029,part_045,19,0
2,408,close,61.1642,-1.168865,1.4926,-0.033098,37.168031,-0.019025,37.162312,-0.033304,37.146711,part_029,part_045,19,0
2,409,close,60.9539,-1.171277,1.4984,-0.033965,37.011150,-0.019729,37.005371,-0.034171,36.990402,part_029,part_045,19,0
2,410,close,60.7816,-1.173332,1.5035,-0.033974,36.883152,-0.019599,36.877319,-0.034181,36.862875,part_029,part_045,19,0
2,411,close,60.6404,-1.174702,1.5072,-0.034251,36.778368,-0.019783,36.772501,-0.034458,36.758479,part_029,part_045,20,0
2,412,close,60.5247,-1.176072,1.5104,-0.034630,36.692237,-0.020070,36.686334,-0.034836,36.672665,part_029,part_045,20,0
2,413,close,58.7256,-1.171277,1.4990,-0.033865,35.368096,-0.019629,35.362294,-0.034071,35.353705,part_029,part_045,19,0
