sample,host_elapsed_s,wall_time_ns,host_mono_ns,phase,P_command_I0,b_deg,s_deg,e_deg,t_deg,r_deg,gripper_open_deg,tB_raw,tS_raw,tE_raw,tT_raw,tR_raw,tG_raw
80,1.464336507,1789106158732253592,6522650530737,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
81,1.482101608,1789106158750018862,6522668295838,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
82,1.503396786,1789106158771314105,6522689591016,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
83,1.518454581,1789106158786372186,6522704648811,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
84,1.535277271,1789106158803194871,6522721471501,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
85,1.553091306,1789106158821008699,6522739285536,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
86,1.571068534,1789106158838985604,6522757262764,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
87,1.589108221,1789106158857025370,6522775302451,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
88,1.607111156,1789106158875028582,6522793305386,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
89,1.625060888,1789106158892978325,6522811255118,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
90,1.643149024,1789106158911066251,6522829343254,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
91,1.661225082,1789106158929142413,6522847419312,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
92,1.679239606,1789106158947156482,6522865433836,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
93,1.697224405,1789106158965141567,6522883418635,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
94,1.715590906,1789106158983507739,6522901785136,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
95,1.732356705,1789106159000273691,6522918550935,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
96,1.750249694,1789106159018166781,6522936443924,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
97,1.768230803,1789106159036148033,6522954425033,baseline,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
